date,headline
1 Desember 2022,"Update Covid-19 Hari Ini, 1 Desember 2022: Tambah 4.977 Kasus Baru, Sebaran Tertinggi di DKI Jakarta"
1 Desember 2022,BPS Catat Inflasi Tertinggi November 2022 di Tanjung Selor dan Terendah di Ternate
1 Desember 2022,"Bharada E Sebut Brigadir J Miliki 3 Handphone, Salah Satunya Punya Putri Candrawathi"
1 Desember 2022,"Contoh Soal UAS, PAS TIK Kelas 7 SMP: Pilihan Ganda Disertai Kunci Jawaban"
1 Desember 2022,Kunci Jawaban Matematika Kelas 8 SMP Kurikulum Merdeka Halaman 72 73
1 Desember 2022,"Argentina Lolos Lubang Jarum di Piala Dunia 2022, Lionel Messi Tabuh Genderang Perang"
1 Desember 2022,"Ramalan Zodiak Karier Hari ini, Kamis 1 Desember 2022: Aries Keuntungan Positif, Libra Khawatir"
1 Desember 2022,Jaksa KPK Buka Opsi Panggil Politikus PDIP Utut Adianto ke Persidangan Kasus Suap Maba Unila
1 Desember 2022,"Contoh Soal UAS, PAS Seni Budaya Kelas 9, Disertai dengan Kunci Jawaban"
1 Desember 2022,Kejurnas PBSI 2022 Sediakan Hadiah Paling  Besar
1 Desember 2022,Orang Tua Bharada E Akui Sempat Didoktrin sang Anak dengan Skenario Sambo: Matanya Kosong
1 Desember 2022,"Kontak Senjata Diduga dengan KKB di Yahukimo, Bripda Gilang Meninggal Setelah Sempat Dirawat di RS"
1 Desember 2022,"Tertinggi di Asia Tenggara, Jubir Milenial PKB Desak Pemerintah Serius Tangani HIV/AIDS"
1 Desember 2022,"Sedang Berlangsung Live Streaming SCTV Kroasia vs Belgia Piala Dunia 2022, Red Devils Butuh 3 Angka"
1 Desember 2022,"Menteri ATR/BPN Hadi Tjahjanto: Kebijakan Jokowi Terkait Redistribusi Tanah, Tegas untuk Rakyat"
1 Desember 2022,"Daftar Rekrutmen BUMN Batch 2 Bagi Lulusan Sarjana, Lengkap dengan Cara Daftar"
1 Desember 2022,"Duduk Perkara Sekdes Cantik di Purworejo Resmi Dipecat, Berawal dari Video di Kelab Malam"
